"filename", "language", "Properties", "Batch", "PowerShell", "Python", "XML", "comment", "blank", "total"
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\__init__.py", "Python", 0, 0, 0, -8, 0, 0, -6, -14
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\__main__.py", "Python", 0, 0, 0, -10, 0, -10, -5, -25
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\__pip-runner__.py", "Python", 0, 0, 0, -29, 0, -4, -18, -51
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\__init__.py", "Python", 0, 0, 0, -10, 0, -2, -7, -19
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\build_env.py", "Python", 0, 0, 0, -252, 0, -15, -45, -312
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cache.py", "Python", 0, 0, 0, -221, 0, -19, -51, -291
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, -2, 0, -1, -2, -5
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 0, 0, 0, -135, 0, -19, -19, -173
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 0, 0, 0, -175, 0, -22, -40, -237
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 0, 0, 0, -883, 0, -38, -154, -1075
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\command_context.py", "Python", 0, 0, 0, -20, 0, 0, -8, -28
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\main.py", "Python", 0, 0, 0, -34, 0, -30, -16, -80
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 0, 0, 0, -82, 0, -24, -29, -135
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\parser.py", "Python", 0, 0, 0, -222, 0, -20, -53, -295
"c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\bot_env\Lib\site-packages\pip\_internal\cli\progress_bars.py", "Python", 0, 0, 0, -58, 0, 0, -11, -69
