Date : 2024-09-25 13:34:45
Directory : c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app
Total : 575 files,  67395 codes, 18525 comments, 9686 blanks, all 95606 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| SQL              |        347 |     45,863 |     15,072 |      7,700 |     68,635 |
| Python           |         97 |      9,221 |      1,483 |      1,160 |     11,864 |
| JSON             |          3 |      4,421 |          0 |          2 |      4,423 |
| HTML             |         47 |      3,929 |        699 |        196 |      4,824 |
| JavaScript       |         44 |      3,047 |      1,025 |        438 |      4,510 |
| CSS              |         33 |        833 |        223 |        168 |      1,224 |
| Batch            |          1 |         61 |         22 |         15 |         98 |
| pip requirements |          1 |         12 |          1 |          3 |         16 |
| Markdown         |          1 |          7 |          0 |          4 |         11 |
| XML              |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                         |        575 |     67,395 |     18,525 |      9,686 |     95,606 |
| . (Files)                                                                                                                                                                                 |         12 |      4,882 |         99 |         94 |      5,075 |
| business_objects                                                                                                                                                                          |         25 |      4,061 |        319 |        314 |      4,694 |
| business_objects (Files)                                                                                                                                                                  |          6 |        559 |         27 |         67 |        653 |
| business_objects\store                                                                                                                                                                    |         19 |      3,502 |        292 |        247 |      4,041 |
| controllers                                                                                                                                                                               |         11 |        730 |         66 |        115 |        911 |
| controllers (Files)                                                                                                                                                                       |          4 |        271 |         29 |         41 |        341 |
| controllers\store                                                                                                                                                                         |          7 |        459 |         37 |         74 |        570 |
| datastores                                                                                                                                                                                |         11 |      1,346 |        203 |        224 |      1,773 |
| forms                                                                                                                                                                                     |          9 |        336 |         38 |         59 |        433 |
| forms (Files)                                                                                                                                                                             |          5 |        220 |         22 |         43 |        285 |
| forms\store                                                                                                                                                                               |          4 |        116 |         16 |         16 |        148 |
| helpers                                                                                                                                                                                   |          3 |         64 |          7 |         18 |         89 |
| lib                                                                                                                                                                                       |          3 |        825 |        487 |         55 |      1,367 |
| models                                                                                                                                                                                    |         23 |      1,255 |        236 |        211 |      1,702 |
| payments                                                                                                                                                                                  |          1 |        106 |         30 |         34 |        170 |
| static                                                                                                                                                                                    |        431 |     49,899 |     16,341 |      8,371 |     74,611 |
| static\MySQL                                                                                                                                                                              |        189 |     26,444 |      6,883 |      4,407 |     37,734 |
| static\PostgreSQL                                                                                                                                                                         |        158 |     19,419 |      8,189 |      3,293 |     30,901 |
| static\batch                                                                                                                                                                              |          1 |         61 |         22 |         15 |         98 |
| static\css                                                                                                                                                                                |         33 |        833 |        223 |        168 |      1,224 |
| static\css (Files)                                                                                                                                                                        |          1 |        386 |        146 |         66 |        598 |
| static\css\components                                                                                                                                                                     |          8 |         31 |          5 |         12 |         48 |
| static\css\layouts                                                                                                                                                                        |          3 |         26 |          0 |          5 |         31 |
| static\css\lib                                                                                                                                                                            |          4 |          0 |          0 |          4 |          4 |
| static\css\pages                                                                                                                                                                          |         12 |        282 |         59 |         57 |        398 |
| static\css\pages\core                                                                                                                                                                     |          4 |         56 |         35 |         15 |        106 |
| static\css\pages\legal                                                                                                                                                                    |          4 |          6 |          0 |          5 |         11 |
| static\css\pages\store                                                                                                                                                                    |          4 |        220 |         24 |         37 |        281 |
| static\css\sections                                                                                                                                                                       |          3 |         42 |          1 |         12 |         55 |
| static\css\themes                                                                                                                                                                         |          2 |         66 |         12 |         12 |         90 |
| static\docs                                                                                                                                                                               |          6 |        269 |         21 |         49 |        339 |
| static\images                                                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| static\js                                                                                                                                                                                 |         42 |      2,858 |      1,001 |        434 |      4,293 |
| static\js (Files)                                                                                                                                                                         |          5 |        380 |        334 |         57 |        771 |
| static\js\components                                                                                                                                                                      |          7 |        146 |        137 |         43 |        326 |
| static\js\components\common                                                                                                                                                               |          7 |        146 |        137 |         43 |        326 |
| static\js\components\common (Files)                                                                                                                                                       |          2 |         23 |          1 |         12 |         36 |
| static\js\components\common\inputs                                                                                                                                                        |          3 |         82 |        136 |         27 |        245 |
| static\js\components\common\temporary                                                                                                                                                     |          2 |         41 |          0 |          4 |         45 |
| static\js\lib                                                                                                                                                                             |          8 |        226 |         75 |         71 |        372 |
| static\js\pages                                                                                                                                                                           |         19 |      2,106 |        455 |        260 |      2,821 |
| static\js\pages (Files)                                                                                                                                                                   |          2 |        541 |        147 |         28 |        716 |
| static\js\pages\core                                                                                                                                                                      |          4 |         76 |          0 |         26 |        102 |
| static\js\pages\legal                                                                                                                                                                     |          5 |         65 |          0 |         25 |         90 |
| static\js\pages\store                                                                                                                                                                     |          7 |      1,410 |        308 |        175 |      1,893 |
| static\js\pages\user                                                                                                                                                                      |          1 |         14 |          0 |          6 |         20 |
| static\js\sections                                                                                                                                                                        |          3 |          0 |          0 |          3 |          3 |
| static\python                                                                                                                                                                             |          1 |         14 |          2 |          5 |         21 |
| templates                                                                                                                                                                                 |         46 |      3,891 |        699 |        191 |      4,781 |
| templates (Files)                                                                                                                                                                         |          1 |          0 |          0 |          2 |          2 |
| templates\components                                                                                                                                                                      |         24 |        717 |         51 |         42 |        810 |
| templates\components\common                                                                                                                                                               |          8 |        116 |         16 |          7 |        139 |
| templates\components\common\buttons                                                                                                                                                       |          2 |         61 |          0 |          0 |         61 |
| templates\components\common\inputs                                                                                                                                                        |          2 |         12 |          6 |          0 |         18 |
| templates\components\common\temporary                                                                                                                                                     |          4 |         43 |         10 |          7 |         60 |
| templates\components\store                                                                                                                                                                |         16 |        601 |         35 |         35 |        671 |
| templates\js                                                                                                                                                                              |          1 |         78 |          0 |          3 |         81 |
| templates\js\sections                                                                                                                                                                     |          1 |         78 |          0 |          3 |         81 |
| templates\layouts                                                                                                                                                                         |          2 |        291 |         72 |         12 |        375 |
| templates\pages                                                                                                                                                                           |         18 |      2,805 |        576 |        132 |      3,513 |
| templates\pages\core                                                                                                                                                                      |          4 |        205 |         94 |         28 |        327 |
| templates\pages\legal                                                                                                                                                                     |          5 |      2,003 |        321 |         52 |      2,376 |
| templates\pages\store                                                                                                                                                                     |          8 |        588 |        142 |         48 |        778 |
| templates\pages\user                                                                                                                                                                      |          1 |          9 |         19 |          4 |         32 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                  | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\README.md                                                                                                  | Markdown         |          7 |          0 |          4 |         11 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\__init__.py                                                                                                | Python           |         13 |          2 |          6 |         21 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\app.py                                                                                                     | Python           |        107 |         12 |         21 |        140 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\__init__.py                                                                               | Python           |          9 |          0 |          3 |         12 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\base.py                                                                                   | Python           |         50 |          3 |          6 |         59 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\db_base.py                                                                                | Python           |         60 |          7 |          8 |         75 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\sql_error.py                                                                              | Python           |         45 |          9 |         11 |         65 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\__init__.py                                                                         | Python           |          0 |          0 |          1 |          1 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\access_level.py                                                                     | Python           |         78 |          2 |          6 |         86 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\basket.py                                                                           | Python           |        144 |         17 |         22 |        183 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\currency.py                                                                         | Python           |        108 |          5 |         10 |        123 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\delivery_option.py                                                                  | Python           |         89 |          2 |          8 |         99 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\delivery_region.py                                                                  | Python           |         92 |          3 |          9 |        104 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\discount.py                                                                         | Python           |         66 |          2 |          8 |         76 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\image.py                                                                            | Python           |        106 |          5 |         17 |        128 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\order.py                                                                            | Python           |         63 |         12 |         14 |         89 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\product.py                                                                          | Python           |        611 |        172 |         26 |        809 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\product_category.py                                                                 | Python           |        463 |         13 |         13 |        489 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\product_permutation.py                                                              | Python           |        577 |         16 |         23 |        616 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\product_price.py                                                                    | Python           |         97 |          3 |          9 |        109 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\product_variation.py                                                                | Python           |        178 |          7 |         26 |        211 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\product_variation_tree.py                                                           | Python           |        177 |          2 |          9 |        188 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\product_variation_type.py                                                           | Python           |         83 |          7 |         14 |        104 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\stock_item.py                                                                       | Python           |        352 |         11 |         14 |        377 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\store_base.py                                                                       | Python           |         78 |          4 |          6 |         88 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\store\stripe.py                                                                           | Python           |        140 |          9 |         12 |        161 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\unit_measurement.py                                                                       | Python           |        143 |          4 |         13 |        160 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\business_objects\user.py                                                                                   | Python           |        252 |          4 |         26 |        282 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\config.py                                                                                                  | Python           |         69 |         22 |         10 |        101 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\__init__.py                                                                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\core.py                                                                                        | Python           |         77 |          6 |         12 |         95 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\legal.py                                                                                       | Python           |         62 |          5 |          8 |         75 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\store\__init__.py                                                                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\store\product.py                                                                               | Python           |         80 |          6 |         13 |         99 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\store\product_category.py                                                                      | Python           |         99 |          8 |         12 |        119 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\store\product_permutation.py                                                                   | Python           |        133 |          6 |         20 |        159 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\store\stock_item.py                                                                            | Python           |         75 |          4 |         14 |         93 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\store\store.py                                                                                 | Python           |         22 |          3 |          5 |         30 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\store\supplier.py                                                                              | Python           |         50 |         10 |          9 |         69 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\controllers\user.py                                                                                        | Python           |        132 |         18 |         20 |        170 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\__init__.py                                                                                     | Python           |          9 |          0 |          3 |         12 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_base.py                                                                               | Python           |        227 |         30 |         26 |        283 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_store_base.py                                                                         | Python           |        240 |         48 |         42 |        330 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_store_basket.py                                                                       | Python           |        113 |         21 |         20 |        154 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_store_product.py                                                                      | Python           |        108 |          8 |         14 |        130 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_store_product_category.py                                                             | Python           |         79 |         11 |         10 |        100 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_store_product_permutation.py                                                          | Python           |         84 |          7 |         13 |        104 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_store_product_variation.py                                                            | Python           |         70 |         14 |         15 |         99 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_store_stock_item.py                                                                   | Python           |        141 |         17 |         17 |        175 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_store_stripe.py                                                                       | Python           |        143 |         25 |         36 |        204 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\datastores\datastore_user.py                                                                               | Python           |        132 |         22 |         28 |        182 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\extensions.py                                                                                              | Python           |         11 |          0 |          3 |         14 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\__init__.py                                                                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\access_level.py                                                                                      | Python           |         30 |          2 |          5 |         37 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\base.py                                                                                              | Python           |         53 |          2 |          9 |         64 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\forms.py                                                                                             | Python           |        102 |         16 |         23 |        141 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\store\__init__.py                                                                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\store\product.py                                                                                     | Python           |         26 |          5 |          5 |         36 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\store\product_category.py                                                                            | Python           |         36 |          5 |          5 |         46 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\forms\store\product_permutation.py                                                                         | Python           |         54 |          6 |          5 |         65 |
